Paper,Tools,Tool Count,Repositories
spisak2025selforthogonalizing,AIF + Flux.jl + Matplotlib + NumPy + SciPy + Seaborn + scikit-learn,7,1
spisák2025selforthogonalizing,AIF + Flux.jl + Matplotlib + NumPy + SciPy + Seaborn + scikit-learn,7,1
stetter2020learning,OpenAI Gym + PyTorch,2,1
takahashi2025testing,Flux.jl + JAX,2,1
tang2025is,scikit-learn,1,1
taniguchi2022active,ROS,1,1
tinguy2022home,OpenAI Gym,1,1
tinguy2023inferring,OpenAI Gym,1,1
tinguy2023learning,AIF + OpenAI Gym,2,1
tinguy2023learning2,AIF + OpenAI Gym,2,1
tinguy2023spatial,OpenAI Gym,1,1
tinguy2024exploring,AIF + OpenAI Gym,2,1
tinguy2024exploring2,AIF + OpenAI Gym,2,1
tinguy2024learning,AIF + OpenAI Gym + pymdp,3,1
tinguy2024spatial,OpenAI Gym,1,1
tinguy2025navigation,AIF + Gazebo + ROS2,3,2
tinguy2025navigation2,AIF + Gazebo + ROS2,3,2
tinguy2025zeroshot,AIF + Gazebo + ROS + ROS2,4,2
tinguy2025zeroshot2,AIF + Gazebo + ROS + ROS2,4,2
tinker2024intrinsic,PyBullet + PyTorch,2,1
tinker2024intrinsic2,PyBullet + PyTorch,2,1
torresan2025prior,AIF + pymdp,2,1
torzoni2025active,Keras + TensorFlow + pymdp,3,2
torzoni2025active2,Keras + MATLAB Toolbox + TensorFlow + pymdp,4,1
ueltzhöffer2017deep,AIF + MuJoCo + OpenAI Gym,3,1
vargas2023selfregulation,AIF + ROS + SciPy,3,1
vijayaraghavan2024development,AIF,1,1
vyas2025towards,JAX + TensorFlow + pymdp,3,1
wang2023active,PyTorch + scikit-learn,2,9
wauthier2022model,AIF + OpenAI Gym,2,1
wei2023learning,AIF + PyTorch,2,1
wei2024value,pymdp,1,1
wei2024value2,pymdp,1,1
wei2025learning,AIF + PyTorch,2,1
yang2025endogenous,AIF,1,1
yeganeh2024active,AIF,1,1
yeganeh2024active2,AIF,1,1
yoon2024individual,AIF,1,1
z2024hostmicrobiome,Flux.jl + Jupyter + Matplotlib + NumPy + Pandas + SciPy + Seaborn + ggplot2 + scikit-learn,9,1
zeidman2025spm30,Flux.jl,1,1
zhang2024author,AIF,1,2
zhang2024neural,AIF,1,2
zhang2025neural,AIF,1,2
zhang2025neural2,AIF,1,2
zhong2018afaprednet,PyTorch,1,1
çatal2020learning2,AIF + OpenAI Gym + PyTorch + Stable-Baselines3,4,1
