Word,PC1,PC2,PC3,PC4,PC5
better,-0.004285,0.016247,-0.000688,0.018703,0.011924
bias,-0.001760,0.006327,-0.010114,-0.004425,0.008532
biological,0.005043,-0.003379,-0.029731,-0.005333,0.035751
biological systems,0.003441,-0.000865,-0.010868,-0.006632,0.010814
biologically,-0.004398,0.000136,-0.010224,0.019829,0.017532
biologically plausible,-0.001457,-0.002379,-0.005348,0.010621,0.015686
biology,0.003967,-0.002269,-0.009797,-0.016966,0.009134
blanket,0.015706,-0.014541,-0.005524,-0.040322,-0.057103
blankets,0.014752,-0.007020,-0.010696,-0.037324,-0.049886
bodily,-0.003619,0.012678,-0.019461,-0.028134,0.009883
body,-0.001792,0.012515,-0.034345,-0.034822,0.015779
bound,0.002207,0.002482,-0.004255,0.010996,0.010241
brain,0.032960,0.003573,-0.118443,-0.080286,0.173107
brains,0.007819,-0.001891,-0.011765,-0.013249,0.012182
build,-0.002691,0.000242,-0.005602,0.013884,0.010065
building,-0.000471,0.000339,-0.012396,0.005473,0.012993
called,0.003453,0.000746,-0.012528,0.005245,0.012806
capabilities,-0.004005,0.001671,-0.008389,0.017917,0.007478
capable,-0.001422,0.003831,-0.008497,0.005256,0.002867
capacity,-0.001713,0.003795,-0.012393,0.002768,0.014501
capture,-0.000065,0.007033,-0.003641,0.008778,0.005191
care,-0.002174,0.011877,-0.001441,-0.012855,-0.004380
case,-0.000684,0.007289,-0.003225,0.004003,0.000070
causal,-0.001571,-0.002620,-0.011378,0.011630,-0.012663
causes,-0.003195,0.003757,-0.011008,0.002109,0.013454
cells,0.002015,0.007005,-0.008773,-0.001298,-0.002554
central,-0.001880,0.002635,-0.010004,-0.008488,0.015658
certain,0.002084,0.004907,-0.007578,0.003234,0.008681
challenge,-0.000048,0.002518,-0.008435,0.003287,0.005446
challenges,-0.003497,0.009632,-0.012896,-0.000061,0.012066
challenging,-0.004169,0.003646,-0.006377,0.012721,0.002519
change,0.003333,0.005894,-0.013082,-0.002031,0.018531
changes,0.008612,0.001835,-0.013619,0.013071,0.000938
changing,-0.003615,0.002060,-0.005313,0.014797,0.007153
characteristics,0.000556,0.005595,-0.007201,0.003664,-0.009536
characterized,-0.000513,0.003872,-0.009176,-0.002340,0.003362
choice,-0.001610,0.003797,-0.006070,0.013118,0.015824
claims,0.005313,-0.000319,-0.009825,-0.011984,0.007652
class,-0.001394,0.005820,-0.001375,0.012734,-0.012150
classical,-0.001595,-0.003631,-0.005608,0.001717,0.010202
classification,-0.003028,0.005159,-0.004671,0.010661,-0.018870
clinical,-0.007621,0.019005,-0.032827,-0.041630,0.024860
coding,-0.002649,-0.000823,-0.037364,-0.041353,0.065874
cognition,0.000143,0.007170,-0.051430,-0.072639,0.063778
cognitive,-0.026424,-0.000303,-0.081271,-0.112137,0.142666
cognitive science,0.001150,0.001774,-0.015188,-0.019921,0.025857
coherence,0.000934,0.004232,-0.012820,-0.012004,0.010861
collective,-0.005417,0.002957,-0.011894,-0.008147,0.012120
combines,-0.003017,-0.000289,-0.003801,0.011818,0.008172
comment,0.008858,-0.020742,0.001455,-0.057047,-0.109423
common,-0.002891,0.006056,-0.010351,0.002017,0.004516
communication,-0.013759,-0.000913,-0.005605,-0.007205,-0.011718
compare,-0.003162,0.002196,-0.004592,0.008311,0.007908
compared,-0.004886,0.008104,-0.008541,0.029046,-0.010504
complex,-0.005682,0.002841,-0.026514,0.012579,0.018957
complexity,-0.002315,0.005377,-0.016472,0.016825,0.011752
components,0.002762,0.003201,-0.007410,0.004614,0.013866
comprehensive,-0.002635,0.005653,-0.010933,-0.000582,-0.002248
computation,-0.001965,0.000750,-0.006977,-0.003648,-0.005690
computational,-0.022161,0.024374,-0.071333,-0.005756,0.091042
computational model,-0.003175,0.004989,-0.011367,0.005867,0.011148
computational models,-0.005136,0.005597,-0.011920,-0.003568,0.013735
computing,-0.008197,-0.003492,0.000996,0.000627,-0.033247
concept,0.001844,0.005379,-0.022430,0.004744,0.020159
concepts,-0.000106,0.007819,-0.012160,-0.003830,0.016556
conceptual,-0.000941,0.004004,-0.019050,-0.019324,0.022601
conclude,0.002821,0.002706,-0.010336,-0.006573,0.009195
condition,-0.002213,0.003180,-0.008279,-0.009944,0.000478
conditions,-0.005168,0.013240,-0.011757,0.002993,0.007460
confidence,-0.004142,0.004708,-0.005719,0.003699,-0.000917
conflict,-0.005105,0.003339,-0.004907,-0.009158,-0.001761
connection,-0.000246,0.000557,-0.004351,0.004536,0.001824
connections,0.002536,0.003624,-0.012789,0.001001,0.004156
connectivity,-0.000866,0.005991,-0.007282,0.002008,0.002291
conscious,-0.002240,0.008435,-0.023308,-0.041488,0.030325
consciousness,-0.001504,0.019020,-0.079114,-0.189052,0.152884
consequences,0.000037,0.007388,-0.000059,-0.001958,0.014610
consider,-0.005888,0.001657,-0.010146,0.013843,0.022834
considered,0.004681,0.003337,-0.010160,-0.003919,0.004435
consistent,0.003711,0.004827,-0.007362,0.009373,0.006127
constrained,0.000547,0.004817,-0.002368,0.009930,0.000837
constraints,0.004852,0.004378,-0.017320,0.008572,0.016176
construct,-0.001462,0.000507,-0.008089,-0.004358,0.007008
construction,-0.002784,0.005721,-0.004966,-0.006345,0.012840
content,0.000829,0.009313,-0.004645,0.000226,-0.015626
context,-0.009184,0.011656,-0.028206,0.009563,0.020030
contexts,-0.000732,0.002237,-0.009867,0.002343,0.010635
contextual,-0.005475,-0.001061,-0.001503,0.004391,0.007395
continuous,-0.010213,-0.005403,-0.006088,0.036184,0.012265
contrast,-0.004265,0.000418,-0.009072,0.012564,0.020806
contribute,-0.001286,0.005926,-0.009615,-0.001761,0.007536
control,-0.067361,-0.048837,-0.005438,0.040219,0.036047
coordination,-0.001526,0.004324,-0.007823,0.005406,-0.004917
