Rank,Word,Total Importance Score,PC1 Loading,PC2 Loading,PC3 Loading,PC4 Loading,PC5 Loading
84,high,0.137758,-0.000819,0.037576,0.030971,0.031690,0.036702
85,based free,0.137242,0.031643,-0.016874,-0.006731,0.037566,-0.044428
86,research,0.136607,-0.002206,0.015055,-0.031194,-0.030969,0.057182
87,et,0.135025,0.009478,-0.010445,-0.006261,-0.043192,-0.065649
88,network,0.134827,-0.006569,0.005978,-0.022700,0.048996,-0.050584
89,beliefs,0.133801,-0.010475,0.013681,-0.031638,0.030263,0.047743
90,blanket,0.133196,0.015706,-0.014541,-0.005524,-0.040322,-0.057103
91,et al,0.133012,0.008970,-0.011215,-0.006060,-0.043357,-0.063409
92,goal,0.132733,-0.013242,0.005706,-0.018575,0.075390,0.019819
93,mechanisms,0.132140,-0.008095,0.020188,-0.046217,-0.015350,0.042289
94,generative models,0.131482,-0.014900,-0.009372,-0.014213,0.023111,0.069885
95,perspective,0.130571,-0.011626,-0.013787,-0.018941,-0.047049,0.039169
96,science,0.129790,0.007583,0.015594,-0.021588,-0.054353,0.030673
97,propose,0.129758,-0.007937,0.016240,-0.042842,0.027412,0.035327
98,dynamics,0.128769,0.001176,0.012745,-0.043813,0.018285,0.052750
99,precision,0.128662,-0.015738,0.016125,-0.035952,-0.015363,0.045484
100,embodied,0.127926,-0.003560,0.009267,-0.037606,-0.027002,0.050490
101,paper,0.127113,0.000896,0.002266,-0.043349,0.019134,0.061467
102,life,0.126568,0.029086,0.003126,-0.022647,-0.061561,0.010147
103,clinical,0.125942,-0.007621,0.019005,-0.032827,-0.041630,0.024860
104,markov,0.125315,0.014212,-0.012722,-0.008236,-0.031911,-0.058235
105,friston,0.122826,0.016496,-0.013653,-0.018329,-0.060967,-0.013381
106,image quality,0.122533,0.014728,-0.005584,-0.003289,0.008174,-0.090757
107,level,0.121701,-0.008603,0.012499,-0.034629,0.020635,0.045335
108,blankets,0.119678,0.014752,-0.007020,-0.010696,-0.037324,-0.049886
109,deep active,0.118756,-0.023881,-0.019640,0.016063,0.055374,-0.003799
110,understanding,0.118521,-0.016643,0.007987,-0.045649,-0.002728,0.045514
111,networks,0.118483,-0.003002,-0.005576,-0.004918,0.069633,-0.035355
112,prediction,0.118047,0.002650,0.006750,-0.051166,-0.002551,0.054930
113,method,0.116906,0.003899,0.010235,0.001775,0.057795,-0.043203
114,cost,0.115777,0.005376,0.038705,0.048211,0.013377,0.010108
115,minimum,0.115258,0.031901,-0.007355,0.011293,0.024047,-0.040661
116,structure,0.113468,-0.001389,0.009451,-0.028427,0.055014,0.019187
117,principle fep,0.111769,0.021823,-0.008286,-0.025026,-0.013622,0.043012
118,human,0.111731,-0.007888,-0.000119,-0.058568,0.042708,0.002449
119,future,0.111710,-0.002221,0.028705,0.001651,0.021549,0.057584
120,role,0.111477,-0.004182,0.029484,-0.017094,-0.028058,0.032659
121,predictions,0.111053,-0.006185,0.013474,-0.034526,-0.012222,0.044646
122,inference agents,0.109467,-0.022493,-0.024814,0.020640,0.032598,0.008922
123,minimization,0.109405,0.017081,-0.010067,-0.009589,0.026262,0.046406
124,algorithm,0.108733,-0.004069,0.003638,-0.005344,0.067362,-0.028320
125,dynamic,0.108274,-0.004943,0.010137,-0.029527,0.038765,0.024901
126,mental,0.108122,-0.005386,0.013584,-0.031773,-0.027868,0.029510
127,theoretical,0.107824,0.000442,0.004414,-0.035878,-0.017108,0.049982
128,novel,0.107818,-0.011852,0.008906,-0.029588,0.041588,0.015885
